Player,#,Nation,Pos,Age,Min,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Touches,Tkl,Int,Blocks,xG,npxG,xAG,SCA,GCA,Cmp,Att,Cmp%,Prog,Succ,Att,-9999
Jamie Vardy,9,eng ENG,FW,35-291,70,0,0,0,0,0,0,0,0,12,0,0,0,0.0,0.0,0.1,1,0,5,10,50.0,1,0,1,45963054
Kelechi Iheanacho,14,ng NGA,FW,26-026,20,0,0,0,0,2,1,0,0,10,0,0,1,0.2,0.2,0.1,2,0,5,6,83.3,1,0,1,c92e1a31
Harvey Barnes,7,eng ENG,LW,24-324,90,0,0,0,0,2,1,0,0,27,1,0,2,0.1,0.1,0.0,1,0,12,18,66.7,1,2,2,3ea50f67
James Maddison,10,eng ENG,RW,25-340,90,0,0,0,0,0,0,0,0,37,1,1,0,0.0,0.0,0.5,6,0,23,32,71.9,4,0,0,ee38d9c5
James Justin,2,eng ENG,LM,24-248,90,0,0,0,0,1,0,0,0,49,2,0,3,0.0,0.0,0.0,1,0,31,37,83.8,1,0,0,fb614c44
Youri Tielemans,8,be BEL,CM,25-175,90,0,0,0,0,1,1,0,0,57,2,1,4,0.0,0.0,0.0,5,0,40,46,87.0,1,0,2,56f7a928
Kiernan Dewsbury-Hall,22,eng ENG,CM,24-053,45,0,0,0,0,0,0,0,0,18,0,1,1,0.0,0.0,0.0,0,0,11,14,78.6,0,0,0,5c74c0f5
Nampalys Mendy,24,sn SEN,CM,30-128,45,0,0,0,0,0,0,0,0,19,0,0,1,0.0,0.0,0.0,0,0,16,18,88.9,0,1,1,1598599e
Timothy Castagne,27,be BEL,RM,26-328,90,0,0,0,0,1,0,0,0,61,3,0,3,0.2,0.2,0.0,0,0,39,46,84.8,2,0,0,197640fd
Çağlar Söyüncü,4,tr TUR,CB,26-159,71,0,0,0,0,0,0,0,0,54,2,0,2,0.0,0.0,0.0,0,0,39,47,83.0,3,0,0,21166ff4
Patson Daka,20,zm ZAM,CB,24-020,19,0,0,0,0,2,1,0,0,8,0,0,0,0.1,0.1,0.0,0,0,2,2,100.0,0,0,0,ca45605e
Wout Faes,3,be BEL,CB,24-209,90,0,0,0,0,0,0,0,0,55,0,0,0,0.0,0.0,0.0,0,0,44,51,86.3,1,0,0,9c221d14
Daniel Amartey,18,gh GHA,CB,27-312,90,0,0,0,0,1,1,0,0,48,1,0,0,0.0,0.0,0.0,0,0,36,39,92.3,1,0,0,1a4ef233
Danny Ward,1,wls WAL,GK,29-129,90,0,0,0,0,0,0,0,0,51,0,0,0,0.0,0.0,0.0,0,0,31,49,63.3,0,0,0,d3ce0e89
Julián Álvarez,19,ar ARG,FW,22-271,76,0,0,0,0,0,0,0,0,12,0,0,0,0.0,0.0,0.0,2,0,8,10,80.0,0,0,0,15ab5a2b
Phil Foden,47,eng ENG,FW,22-154,14,0,0,0,0,0,0,0,0,4,0,0,0,0.0,0.0,0.0,0,0,3,4,75.0,1,0,0,ed1e53f3
Jack Grealish,10,eng ENG,LW,27-049,90,0,0,0,0,0,0,0,0,63,2,0,0,0.0,0.0,0.2,6,1,43,56,76.8,1,0,1,b0b4fd3e
Bernardo Silva,20,pt POR,RW,28-080,90,0,0,0,0,1,1,0,0,59,0,0,2,0.1,0.1,0.1,1,0,41,52,78.8,4,2,5,3eb22ec9
İlkay Gündoğan,8,de GER,LM,32-005,90,0,0,0,0,1,1,0,0,40,0,1,1,0.1,0.1,0.1,3,0,32,35,91.4,2,0,1,819b3158
Rodri,16,es ESP,CM,26-129,90,0,0,0,0,3,1,0,0,96,1,3,1,0.4,0.4,0.0,3,1,77,87,88.5,3,0,0,6434f10d
Kevin De Bruyne,17,be BEL,RM,31-123,90,1,0,0,0,5,2,0,0,81,0,1,0,0.2,0.2,0.4,9,0,57,73,78.1,6,0,0,e46012d4
João Cancelo,7,pt POR,LB,28-155,90,0,0,0,0,2,0,0,0,98,0,1,0,0.0,0.0,0.1,1,0,74,87,85.1,3,1,3,bd6351cd
Aymeric Laporte,14,es ESP,CB,28-155,90,0,0,0,0,1,0,0,0,113,1,0,1,0.0,0.0,0.0,2,0,97,108,89.8,5,0,1,119b9a8e
Manuel Akanji,25,ch SUI,CB,27-102,71,0,0,0,0,2,0,0,0,104,1,0,0,0.2,0.2,0.0,2,0,96,97,99.0,4,0,0,89ac64a6
Rúben Dias,3,pt POR,CB,25-168,19,0,0,0,0,0,0,0,0,16,0,0,1,0.0,0.0,0.0,0,0,10,12,83.3,0,0,0,31c69ef1
John Stones,5,eng ENG,RB,28-154,90,0,0,0,0,0,0,0,0,98,2,0,0,0.0,0.0,0.0,0,0,86,92,93.5,5,0,0,5eecec3d
Ederson,31,br BRA,GK,29-073,90,0,0,0,0,0,0,0,0,31,0,0,0,0.0,0.0,0.0,0,0,25,29,86.2,0,0,0,3bb7b8b4